category,value,substitution,basis
1,-3.4504862429163823,presub,% of after-tax income
2,-1.8128712504218114,presub,% of after-tax income
3,-2.065311380572335,presub,% of after-tax income
4,-1.9042639267466928,presub,% of after-tax income
5,-2.0130945545894865,presub,% of after-tax income
6,-2.0438106425420903,presub,% of after-tax income
7,-1.9970047918752831,presub,% of after-tax income
8,-1.9038995233316975,presub,% of after-tax income
9,-1.697780441775848,presub,% of after-tax income
10,-0.9992486198481259,presub,% of after-tax income
1,-1297.42,presub,2025 dollars
2,-1096.84,presub,2025 dollars
3,-1525.5,presub,2025 dollars
4,-1639.21,presub,2025 dollars
5,-2032.3,presub,2025 dollars
6,-2378.73,presub,2025 dollars
7,-2731.9,presub,2025 dollars
8,-3120.59,presub,2025 dollars
9,-3526.22,presub,2025 dollars
10,-4997.66,presub,2025 dollars
