category,value,substitution,basis
1,-2.7958536902186077,presub,% of after-tax income
2,-1.4856656021580354,presub,% of after-tax income
3,-1.7094058000538683,presub,% of after-tax income
4,-1.5791413636804166,presub,% of after-tax income
5,-1.69708818748003,presub,% of after-tax income
6,-1.712494334442853,presub,% of after-tax income
7,-1.6857782094678357,presub,% of after-tax income
8,-1.604977115281735,presub,% of after-tax income
9,-1.4390413834203404,presub,% of after-tax income
10,-0.8381088322887265,presub,% of after-tax income
1,-1051.2689460590987,presub,2024 dollars
2,-898.8722592736761,presub,2024 dollars
3,-1262.6184060937887,presub,2024 dollars
4,-1359.3406772697394,presub,2024 dollars
5,-1713.2784087885896,presub,2024 dollars
6,-1993.1207810280032,presub,2024 dollars
7,-2306.1445905519995,presub,2024 dollars
8,-2630.6377408025273,presub,2024 dollars
9,-2988.83139170871,presub,2024 dollars
10,-4191.734275985483,presub,2024 dollars
