category,value,substitution,basis
2,-3.895910615431545,presub,% of after-tax income
3,-3.513102920855431,presub,% of after-tax income
4,-2.8985738083211876,presub,% of after-tax income
5,-2.714966249319766,presub,% of after-tax income
6,-2.5330815201266197,presub,% of after-tax income
7,-2.354018767341201,presub,% of after-tax income
8,-2.192279433746582,presub,% of after-tax income
9,-2.0461371326186097,presub,% of after-tax income
10,-1.5887012467734478,presub,% of after-tax income
2,-1674.5357713698272,presub,2024 dollars
3,-2275.9264389776595,presub,2024 dollars
4,-2500.5526558247766,presub,2024 dollars
5,-2958.7348864314754,presub,2024 dollars
6,-3507.66099486456,presub,2024 dollars
7,-4087.8691373768606,presub,2024 dollars
8,-4706.487964281661,presub,2024 dollars
9,-5708.42982539388,presub,2024 dollars
10,-8014.981186922752,presub,2024 dollars
