category,value,substitution,basis
1,-1.1432120801195,presub,% of after-tax income
2,-0.705579402640177,presub,% of after-tax income
3,-0.680969494240859,presub,% of after-tax income
4,-0.604670057028713,presub,% of after-tax income
5,-0.61949698134786,presub,% of after-tax income
6,-0.610592232975065,presub,% of after-tax income
7,-0.581825724016372,presub,% of after-tax income
8,-0.560822147723684,presub,% of after-tax income
9,-0.514386087788676,presub,% of after-tax income
10,-0.361792463519596,presub,% of after-tax income
1,-429.859174245732,presub,2025 dollars
2,-426.896705979386,presub,2025 dollars
3,-502.984497531125,presub,2025 dollars
4,-520.506031790886,presub,2025 dollars
5,-625.406982549919,presub,2025 dollars
6,-710.649982192689,presub,2025 dollars
7,-795.937590454397,presub,2025 dollars
8,-919.215541226504,presub,2025 dollars
9,-1068.35932889357,presub,2025 dollars
10,-1809.47606289618,presub,2025 dollars
