Table 1. Summary Economic & Fiscal Effects of Trump Administration Tariffs,,
"Source: Congressional Budget Office, S&P Global, GTAP v7 [Corong et al (2017)], GTAP-RD, The Budget Lab analysis.",,
,,
,,
,"Section 122
Expires",
Effective Tariff Rates at the End of 2026,,
"Overall, Pre-Substitution",8.20%,
"Overall, Post-Substitution",7.10%,
Fiscal,,
"Conventional Revenue, 2026-2035 (Trillions)",$1.14 ,
"Dynamic Revenue, 2026-2035 (Trillions)",$1.05 ,
Prices in the Medium Run,,
"Percent Change in PCE Price Level, pre-substitution",0.60%,
"Percent Change in PCE Price Level, post-substitution",0.50%,
"Average Household Real Income Loss, Pre-Substitution (2025$)",$780 ,
"Average Household Real Income Loss, Post-Substitution (2025$)",$648 ,
Output and Employment,,
"Percentage Point Change in Q4-Q4 GDP Growth, 2026",0.1,
Percent change in Q4 2026 GDP,-0.11%,
Percent change in long-run GDP,-0.10%,
"Percentage Point Change in the Unemployment Rate, End of 2026",0.12,
