category,value,country_code,substitution,metric
China,1.166841504731326,chn,presub,rate
China,1.166841504731326,chn,postsub,rate
China,13.62,chn,presub,import_share
China,13.291294241623126,chn,postsub,import_share
China,0.1589238129444066,chn,presub,contribution
China,0.15508833772722336,chn,postsub,contribution
Canada,6.888055066817844,ca,presub,rate
Canada,6.888055066817844,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,14.392923385359907,ca,postsub,import_share
Canada,0.8699613549390937,ca,presub,contribution
Canada,0.9913924885084935,ca,postsub,contribution
Mexico,7.434042237634245,mx,presub,rate
Mexico,7.434042237634245,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,16.255639444076074,mx,postsub,import_share
Mexico,1.1508640788081577,mx,presub,contribution
Mexico,1.2084511022701478,mx,postsub,contribution
Rest of World,4.020271020445985,row,presub,rate
Rest of World,4.020271020445985,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,56.060142928940905,row,postsub,import_share
Rest of World,2.342571720903671,row,presub,contribution
Rest of World,2.2537696801928098,row,postsub,contribution
Total,4.522320967595329,total,presub,rate
Total,4.6087016086986745,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,4.522320967595329,total,presub,contribution
Total,4.6087016086986745,total,postsub,contribution
