category,value,substitution,basis
1,-3.370415017210155,presub,% of after-tax income
2,-1.7682935159192459,presub,% of after-tax income
3,-2.0174800050595456,presub,% of after-tax income
4,-1.8604162129487773,presub,% of after-tax income
5,-1.9671964246839349,presub,% of after-tax income
6,-1.9998386803889212,presub,% of after-tax income
7,-1.9554285828107711,presub,% of after-tax income
8,-1.8643748087108272,presub,% of after-tax income
9,-1.6624514620238662,presub,% of after-tax income
10,-0.9785422245137642,presub,% of after-tax income
1,-1267.31,presub,2025 dollars
2,-1069.87,presub,2025 dollars
3,-1490.17,presub,2025 dollars
4,-1601.46,presub,2025 dollars
5,-1985.96,presub,2025 dollars
6,-2327.55,presub,2025 dollars
7,-2675.03,presub,2025 dollars
8,-3055.8,presub,2025 dollars
9,-3452.85,presub,2025 dollars
10,-4894.1,presub,2025 dollars
