category,value,substitution,basis
1,-3.8410602787583175,postsub,% of after-tax income
2,-2.0199103449285616,postsub,% of after-tax income
3,-2.302547452136349,postsub,% of after-tax income
4,-2.121744444093224,postsub,% of after-tax income
5,-2.249779318306249,postsub,% of after-tax income
6,-2.276271931393344,postsub,% of after-tax income
7,-2.223316537812464,postsub,% of after-tax income
8,-2.119826322907052,postsub,% of after-tax income
9,-1.8933211741702496,postsub,% of after-tax income
10,-1.1123654311542517,postsub,% of after-tax income
1,-1444.28,postsub,2025 dollars
2,-1222.11,postsub,2025 dollars
3,-1700.73,postsub,2025 dollars
4,-1826.42,postsub,2025 dollars
5,-2271.24,postsub,2025 dollars
6,-2649.28,postsub,2025 dollars
7,-3041.5,postsub,2025 dollars
8,-3474.5,postsub,2025 dollars
9,-3932.35,postsub,2025 dollars
10,-5563.41,postsub,2025 dollars
