category,value,substitution,basis
2,-4.87152129631337,presub,% of after-tax income
3,-4.392851218736759,presub,% of after-tax income
4,-3.6244322393440513,presub,% of after-tax income
5,-3.3948458288405186,presub,% of after-tax income
6,-3.167413677746246,presub,% of after-tax income
7,-2.943510180033673,presub,% of after-tax income
8,-2.74126821767016,presub,% of after-tax income
9,-2.5585290836106647,presub,% of after-tax income
10,-1.9865424854669493,presub,% of after-tax income
2,-2093.871619989169,presub,2024 dollars
3,-2845.8620360555174,presub,2024 dollars
4,-3126.7389624271523,presub,2024 dollars
5,-3699.658804363941,presub,2024 dollars
6,-4386.046530186542,presub,2024 dollars
7,-5111.549910923116,presub,2024 dollars
8,-5885.082747541677,presub,2024 dollars
9,-7137.930052288009,presub,2024 dollars
10,-10022.086078409739,presub,2024 dollars
