category,series,value
2026,conventional,33.9680706448881
2027,conventional,44.810584822134
2028,conventional,90.0861030030793
2029,conventional,93.0784964529365
2030,conventional,96.2532183693166
2031,conventional,100.013773521304
2032,conventional,103.99710352997
2033,conventional,108.040783413046
2034,conventional,112.185898982333
2035,conventional,116.270025255564
2026,dynamic,22.6030706448881
2027,dynamic,42.001584822134
2028,dynamic,87.9611030030793
2029,dynamic,87.9594964529365
2030,dynamic,90.0232183693166
2031,dynamic,93.328773521304
2032,dynamic,96.8611035299699
2033,dynamic,100.444783413046
2034,dynamic,104.117898982333
2035,dynamic,107.699025255564
