category,value,substitution,basis
1,-1.92498149380397,postsub,% of after-tax income
2,-1.18807989883175,postsub,% of after-tax income
3,-1.14664085260688,postsub,% of after-tax income
4,-1.01816512428385,postsub,% of after-tax income
5,-1.04313123111628,postsub,% of after-tax income
6,-1.0281370964997,postsub,% of after-tax income
7,-0.979699017205576,postsub,% of after-tax income
8,-0.944332442297709,postsub,% of after-tax income
9,-0.866141739474906,postsub,% of after-tax income
10,-0.609199123228452,postsub,% of after-tax income
1,-723.812291485232,postsub,2025 dollars
2,-718.823981190171,postsub,2025 dollars
3,-846.943332961019,postsub,2025 dollars
4,-876.44672063478,postsub,2025 dollars
5,-1053.08270306113,postsub,2025 dollars
6,-1196.61792250311,postsub,2025 dollars
7,-1340.22825553723,postsub,2025 dollars
8,-1547.80808954806,postsub,2025 dollars
9,-1798.9417472198,postsub,2025 dollars
10,-3046.86067889724,postsub,2025 dollars
