category,value,substitution,basis
1,-3.2,presub,% of after-tax income
2,-1.7,presub,% of after-tax income
3,-1.9,presub,% of after-tax income
4,-1.8,presub,% of after-tax income
5,-1.9,presub,% of after-tax income
6,-1.9,presub,% of after-tax income
7,-1.9,presub,% of after-tax income
8,-1.8,presub,% of after-tax income
9,-1.6,presub,% of after-tax income
10,-0.9,presub,% of after-tax income
1,-1214.0,presub,2025 dollars
2,-1029.0,presub,2025 dollars
3,-1438.0,presub,2025 dollars
4,-1546.0,presub,2025 dollars
5,-1931.0,presub,2025 dollars
6,-2254.0,presub,2025 dollars
7,-2595.0,presub,2025 dollars
8,-2963.0,presub,2025 dollars
9,-3355.0,presub,2025 dollars
10,-4737.0,presub,2025 dollars
